sma,trades,total_profit,avg_profit,positive_trades
1,18,149.949344,8.330519,18
2,18,141.106143,7.839230,18
3,18,137.374652,7.631925,18
4,18,130.891422,7.271746,18
5,18,131.035861,7.279770,18
6,17,117.153836,6.891402,17
7,17,109.031842,6.413638,17
8,17,112.699231,6.629367,17
9,17,120.942044,7.114238,17
10,16,101.055411,6.315963,16
11,16,109.831519,6.864470,16
12,16,104.764532,6.547783,16
13,15,91.615845,6.107723,15
14,15,96.873627,6.458242,15
15,15,89.395599,5.959707,15
16,14,77.869562,5.562112,14
17,14,75.061838,5.361560,14
18,14,76.928339,5.494881,14
19,14,71.939203,5.138514,14
20,13,57.289890,4.406915,13
21,13,54.651141,4.203934,13
22,13,58.084918,4.468071,13
23,13,56.588565,4.352967,13
24,13,56.265170,4.328090,13
25,12,48.315320,4.026277,12
26,12,48.433652,4.036138,12
27,12,49.168332,4.097361,12
28,11,45.029654,4.093605,11
29,11,46.198264,4.199842,11
30,10,35.280563,3.528056,10
31,10,42.061874,4.206187,10
32,10,35.311386,3.531139,10
33,9,35.860864,3.984540,9
34,9,36.139185,4.015465,9
35,8,30.443149,3.805394,8
36,8,28.598102,3.574763,8
37,8,30.058154,3.757269,8
38,8,29.059879,3.632485,8
39,7,22.538113,3.219730,7
40,7,23.322598,3.331800,7
41,7,22.089978,3.155711,7
42,7,22.556592,3.222370,7
43,6,16.784995,2.797499,6
44,6,17.877814,2.979636,6
45,6,16.491782,2.748630,6
46,6,18.102805,3.017134,6
47,5,14.226776,2.845355,5
48,5,16.418106,3.283621,5
49,5,14.734985,2.946997,5
50,5,16.543106,3.308621,5
51,4,8.871790,2.217947,4
52,4,9.713098,2.428275,4
53,4,9.825296,2.456324,4
54,4,9.713098,2.428275,4
55,4,9.399088,2.349772,4
56,4,9.781488,2.445372,4
57,3,6.704898,2.234966,3
58,3,7.560291,2.520097,3
59,3,6.774997,2.258332,3
60,3,7.260287,2.420096,3
61,3,6.385303,2.128434,3
62,2,4.884091,2.442046,2
63,2,5.110303,2.555151,2
64,2,4.634900,2.317450,2
65,2,5.110303,2.555151,2
66,1,2.870001,2.870001,1
67,1,2.474997,2.474997,1
68,1,2.870001,2.870001,1
