,EH
0,18.469999313354492
1,18.450000762939453
2,18.579999923706055
3,18.458900451660156
4,18.34000015258789
5,18.36199951171875
6,18.31999969482422
7,18.329999923706055
8,18.420000076293945
9,18.3799991607666
10,18.334999084472656
11,18.360000610351562
12,18.3262996673584
13,18.33300018310547
14,18.395000457763672
15,18.31999969482422
16,18.309999465942383
17,18.34000015258789
18,18.341400146484375
19,18.360000610351562
20,18.339599609375
21,18.325300216674805
22,18.350000381469727
23,18.3799991607666
24,18.34000015258789
25,18.350000381469727
26,18.360000610351562
27,18.329999923706055
28,18.260000228881836
29,18.229999542236328
30,18.229999542236328
31,18.239999771118164
32,18.239999771118164
33,18.270000457763672
34,18.295000076293945
35,18.299999237060547
36,18.280000686645508
37,18.274999618530273
38,18.265899658203125
39,18.270000457763672
40,18.253000259399414
41,18.244400024414062
42,18.25
43,18.27440071105957
44,18.280000686645508
45,18.270000457763672
46,18.229999542236328
47,18.25
48,18.264999389648438
49,18.25
50,18.19379997253418
51,18.185100555419922
52,18.149999618530273
53,18.174999237060547
54,18.149999618530273
55,18.170000076293945
56,18.154399871826172
57,18.139999389648438
58,18.15999984741211
59,18.145000457763672
60,18.134000778198242
61,18.149999618530273
62,18.190000534057617
63,18.17009925842285
64,18.225000381469727
65,18.218799591064453
66,18.165199279785156
67,18.219999313354492
68,18.200700759887695
69,18.274999618530273
70,18.280000686645508
71,18.274999618530273
72,18.274999618530273
73,18.300199508666992
74,18.31999969482422
75,18.325000762939453
76,18.31279945373535
77,18.309999465942383
78,18.270000457763672
79,18.2593994140625
80,18.274999618530273
81,18.309999465942383
82,18.264999389648438
83,18.280000686645508
84,18.29439926147461
85,18.270000457763672
86,18.270000457763672
87,18.270000457763672
88,18.270099639892578
89,18.28499984741211
90,18.270000457763672
91,18.270000457763672
92,18.260000228881836
93,18.270000457763672
94,18.263599395751953
95,18.260000228881836
96,18.270000457763672
97,18.26409912109375
98,18.270299911499023
99,18.280000686645508
100,18.25
101,18.239999771118164
102,18.239999771118164
103,18.215200424194336
104,18.200000762939453
105,18.290000915527344
106,18.3700008392334
107,18.479999542236328
108,18.520000457763672
109,18.459999084472656
110,18.479999542236328
111,18.479999542236328
112,18.496000289916992
113,18.459999084472656
114,18.395000457763672
115,18.489999771118164
116,18.459999084472656
117,18.520000457763672
118,18.579999923706055
119,18.55500030517578
120,18.56999969482422
121,18.56999969482422
122,18.579999923706055
123,18.54129981994629
124,18.549999237060547
125,18.532899856567383
126,18.545000076293945
127,18.639999389648438
128,18.610000610351562
129,18.600000381469727
130,18.600000381469727
131,18.579999923706055
132,18.575000762939453
133,18.549999237060547
134,18.579999923706055
135,18.54400062561035
136,18.549999237060547
137,18.559999465942383
138,18.565000534057617
139,18.549999237060547
140,18.5
141,18.520000457763672
142,18.600000381469727
143,18.59000015258789
144,18.579999923706055
145,18.6299991607666
146,18.624799728393555
147,18.6200008392334
148,18.613000869750977
149,18.579999923706055
150,18.549999237060547
151,18.559999465942383
152,18.559999465942383
153,18.540000915527344
154,18.540000915527344
155,18.530000686645508
156,18.520000457763672
157,18.53499984741211
158,18.52910041809082
159,18.530000686645508
160,18.559999465942383
161,18.549999237060547
162,18.535999298095703
163,18.540199279785156
164,18.469999313354492
165,18.510000228881836
166,18.5
167,18.530000686645508
168,18.559999465942383
169,18.600000381469727
170,18.610000610351562
171,18.610000610351562
172,18.609800338745117
173,18.588499069213867
174,18.55500030517578
175,18.56999969482422
176,18.56999969482422
177,18.559999465942383
178,18.549999237060547
179,18.649999618530273
180,18.93000030517578
181,19.0049991607666
182,19.014999389648438
183,18.979999542236328
184,18.969600677490234
185,18.989999771118164
186,18.899999618530273
187,18.969999313354492
188,18.87820053100586
189,18.790000915527344
190,18.790000915527344
191,18.809999465942383
192,18.815000534057617
193,18.809999465942383
194,18.739999771118164
195,18.670000076293945
196,18.674999237060547
197,18.663999557495117
198,18.625
199,18.649999618530273
200,18.597000122070312
201,18.59000015258789
202,18.610000610351562
203,18.68000030517578
204,18.719999313354492
205,18.743200302124023
206,18.75
207,18.729999542236328
208,18.68000030517578
209,18.704999923706055
210,18.739999771118164
211,18.75
212,18.700000762939453
213,18.68000030517578
214,18.662700653076172
215,18.68000030517578
216,18.670000076293945
217,18.670000076293945
218,18.65999984741211
219,18.655000686645508
220,18.665000915527344
221,18.66230010986328
222,18.65959930419922
223,18.635000228881836
